NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION,REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION,,30,0.6741294,4.2280703,0,0,0,126,"tags=97%, list=35%, signal=135%"
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,,27,0.70414203,4.2275987,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,,27,0.70414203,4.202505,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,,30,0.6741294,4.199157,0,0,0,126,"tags=97%, list=35%, signal=135%"
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,,27,0.70414203,4.190648,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,,53,0.52001697,4.184948,0,0,0,126,"tags=79%, list=35%, signal=103%"
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,,34,0.6217345,4.1505723,0,0,0,126,"tags=91%, list=35%, signal=126%"
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,,33,0.61692226,4.0932007,0,0,0,126,"tags=91%, list=35%, signal=126%"
GO_LEUKOCYTE_MIGRATION,GO_LEUKOCYTE_MIGRATION,,35,0.5948052,4.0187955,0,0,0,126,"tags=89%, list=35%, signal=122%"
REACTOME_VESICLE_MEDIATED_TRANSPORT,REACTOME_VESICLE_MEDIATED_TRANSPORT,,37,0.5752308,3.954084,0,0,0,126,"tags=86%, list=35%, signal=119%"
REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_INNATE_IMMUNE_SYSTEM,,39,0.55891144,3.9162655,0,0,0,135,"tags=87%, list=37%, signal=124%"
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,,33,0.5836072,3.90022,0,0,0,126,"tags=88%, list=35%, signal=122%"
GO_BLOOD_MICROPARTICLE,GO_BLOOD_MICROPARTICLE,,23,0.6853547,3.864983,0,0,0,82,"tags=87%, list=22%, signal=105%"
GO_ENDOCYTOSIS,GO_ENDOCYTOSIS,,45,0.515625,3.8632002,0,0,0,126,"tags=80%, list=35%, signal=107%"
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,,36,0.5693178,3.8121722,0,0,0,126,"tags=86%, list=35%, signal=119%"
GO_IMPORT_INTO_CELL,GO_IMPORT_INTO_CELL,,46,0.49734226,3.7502332,0,0,0,126,"tags=78%, list=35%, signal=104%"
GO_IMMUNOGLOBULIN_PRODUCTION,GO_IMMUNOGLOBULIN_PRODUCTION,,23,0.6725146,3.7028844,0,0,0,134,"tags=100%, list=37%, signal=148%"
REACTOME_HEMOSTASIS,REACTOME_HEMOSTASIS,,41,0.51475453,3.6691902,0,0,0,126,"tags=80%, list=35%, signal=109%"
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS,GO_RECEPTOR_MEDIATED_ENDOCYTOSIS,,38,0.5222115,3.6407928,0,0,0,126,"tags=82%, list=35%, signal=112%"
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY,,17,0.69827586,3.4720595,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,,17,0.69827586,3.470413,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_PHAGOCYTOSIS_RECOGNITION,GO_PHAGOCYTOSIS_RECOGNITION,,17,0.69827586,3.415694,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_REGULATION_OF_B_CELL_ACTIVATION,GO_REGULATION_OF_B_CELL_ACTIVATION,,17,0.69827586,3.4139721,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_IMMUNOGLOBULIN_RECEPTOR_BINDING,GO_IMMUNOGLOBULIN_RECEPTOR_BINDING,,17,0.69827586,3.4048498,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,,17,0.69827586,3.4000762,0,0,0,121,"tags=100%, list=33%, signal=143%"
CHR22Q11,CHR22Q11,,19,0.6647399,3.3850522,0,0,0,134,"tags=100%, list=37%, signal=150%"
GO_IMMUNOGLOBULIN_COMPLEX,GO_IMMUNOGLOBULIN_COMPLEX,,17,0.69827586,3.3380647,0,0,0,121,"tags=100%, list=33%, signal=143%"
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,,26,0.55423194,3.32807,0,0,0,134,"tags=88%, list=37%, signal=130%"
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,,21,0.6129568,3.3211036,0,0,0,101,"tags=86%, list=28%, signal=112%"
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION,GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION,,21,0.6129568,3.2605255,0,0,0,101,"tags=86%, list=28%, signal=112%"
GO_MEMBRANE_INVAGINATION,GO_MEMBRANE_INVAGINATION,,18,0.6418508,3.2450576,0,0,0,121,"tags=94%, list=33%, signal=134%"
CHR14Q32,CHR14Q32,,18,0.6418508,3.2018073,0,0,0,121,"tags=94%, list=33%, signal=134%"
GO_B_CELL_ACTIVATION,GO_B_CELL_ACTIVATION,,18,0.6418508,3.1612146,0,0,0,121,"tags=94%, list=33%, signal=134%"
GO_DEFENSE_RESPONSE_TO_BACTERIUM,GO_DEFENSE_RESPONSE_TO_BACTERIUM,,19,0.5935504,3.0320518,0,0,0,101,"tags=84%, list=28%, signal=110%"
GO_REGULATION_OF_CELL_ACTIVATION,GO_REGULATION_OF_CELL_ACTIVATION,,25,0.5158823,2.9942534,0,0,0,101,"tags=76%, list=28%, signal=98%"
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION,GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION,,25,0.5158823,2.986733,0,0,0,101,"tags=76%, list=28%, signal=98%"
GO_RESPONSE_TO_BACTERIUM,GO_RESPONSE_TO_BACTERIUM,,25,0.5158823,2.9542396,0,0,0,101,"tags=76%, list=28%, signal=98%"
GO_CELL_RECOGNITION,GO_CELL_RECOGNITION,,24,0.5036657,2.9150953,0,0,0,101,"tags=75%, list=28%, signal=97%"
DODD_NASOPHARYNGEAL_CARCINOMA_UP,DODD_NASOPHARYNGEAL_CARCINOMA_UP,,51,0.3577495,2.8628042,0,0,0,130,"tags=67%, list=36%, signal=89%"
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN,,16,0.58327365,2.7609732,0,7.74E-06,0.001,92,"tags=81%, list=25%, signal=104%"
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,,21,0.5119048,2.6779184,0,3.83E-05,0.005,101,"tags=76%, list=28%, signal=99%"
GO_INNATE_IMMUNE_RESPONSE,GO_INNATE_IMMUNE_RESPONSE,,24,0.45906648,2.6555507,0,3.78E-05,0.005,101,"tags=71%, list=28%, signal=91%"
GO_LYMPHOCYTE_ACTIVATION,GO_LYMPHOCYTE_ACTIVATION,,28,0.43228066,2.6379123,0,5.94E-05,0.008,101,"tags=68%, list=28%, signal=87%"
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,,22,0.47654387,2.6174357,0,6.65E-05,0.009,101,"tags=73%, list=28%, signal=94%"
GO_MEMBRANE_ORGANIZATION,GO_MEMBRANE_ORGANIZATION,,26,0.42693445,2.5321782,0,1.72E-04,0.023,121,"tags=73%, list=33%, signal=102%"
GO_DEFENSE_RESPONSE,GO_DEFENSE_RESPONSE,,33,0.3590727,2.36546,0,6.41E-04,0.086,101,"tags=61%, list=28%, signal=76%"
GO_CELL_ACTIVATION,GO_CELL_ACTIVATION,,35,0.35454547,2.3508804,0.004065041,7.27E-04,0.098,101,"tags=60%, list=28%, signal=75%"
GO_SIDE_OF_MEMBRANE,GO_SIDE_OF_MEMBRANE,,24,0.41446728,2.3390448,0.002057613,8.08E-04,0.11,101,"tags=67%, list=28%, signal=86%"
GO_RESPONSE_TO_BIOTIC_STIMULUS,GO_RESPONSE_TO_BIOTIC_STIMULUS,,32,0.3529467,2.2640965,0.004065041,0.001495703,0.195,121,"tags=66%, list=33%, signal=90%"
GO_CELL_MOTILITY,GO_CELL_MOTILITY,,56,0.26901296,2.2500308,0.002020202,0.001609849,0.212,144,"tags=63%, list=39%, signal=87%"
GO_LOCOMOTION,GO_LOCOMOTION,,61,0.22503231,1.8807371,0.004192872,0.015004658,0.898,146,"tags=59%, list=40%, signal=82%"
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS,GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS,,16,0.3090974,1.4598562,0.06719368,0.116693854,1,28,"tags=38%, list=8%, signal=39%"
VECCHI_GASTRIC_CANCER_EARLY_DN,VECCHI_GASTRIC_CANCER_EARLY_DN,,15,0.2980953,1.3915014,0.088757396,0.1524793,1,211,"tags=87%, list=58%, signal=197%"
GO_CELL_SURFACE,GO_CELL_SURFACE,,40,0.19153847,1.379778,0.12,0.1582772,1,101,"tags=45%, list=28%, signal=55%"
ACEVEDO_LIVER_CANCER_DN,ACEVEDO_LIVER_CANCER_DN,,16,0.28707018,1.3623921,0.13035019,0.16795653,1,241,"tags=94%, list=66%, signal=264%"
NABA_MATRISOME_ASSOCIATED,NABA_MATRISOME_ASSOCIATED,,25,0.22823527,1.3409215,0.13127413,0.18084575,1,82,"tags=44%, list=22%, signal=53%"
SMID_BREAST_CANCER_BASAL_DN,SMID_BREAST_CANCER_BASAL_DN,,28,0.2186308,1.3306034,0.1375969,0.18617146,1,173,"tags=68%, list=47%, signal=119%"
GO_MULTI_ORGANISM_REPRODUCTIVE_PROCESS,GO_MULTI_ORGANISM_REPRODUCTIVE_PROCESS,,19,0.2482507,1.2677834,0.17745303,0.23391466,1,86,"tags=47%, list=24%, signal=59%"
GO_TRANSITION_METAL_ION_BINDING,GO_TRANSITION_METAL_ION_BINDING,,19,0.24323092,1.2431262,0.19875777,0.25357172,1,203,"tags=79%, list=56%, signal=169%"
MODULE_23,MODULE_23,,24,0.21810853,1.2391073,0.20925553,0.25469142,1,244,"tags=88%, list=67%, signal=247%"
TGTTTGY_HNF3_Q6,TGTTTGY_HNF3_Q6,,20,0.22971013,1.2207661,0.21102661,0.268499,1,230,"tags=85%, list=63%, signal=217%"
MODULE_6,MODULE_6,,15,0.26476195,1.2040316,0.22839506,0.2823362,1,174,"tags=73%, list=48%, signal=134%"
RODWELL_AGING_KIDNEY_UP,RODWELL_AGING_KIDNEY_UP,,16,0.25125358,1.1849935,0.22851153,0.29861224,1,71,"tags=44%, list=19%, signal=52%"
GO_TRANSPORTER_COMPLEX,GO_TRANSPORTER_COMPLEX,,20,0.22246376,1.1766526,0.24096386,0.30409715,1,269,"tags=95%, list=74%, signal=341%"
BLALOCK_ALZHEIMERS_DISEASE_UP,BLALOCK_ALZHEIMERS_DISEASE_UP,,17,0.23427993,1.1384389,0.28719008,0.34189948,1,261,"tags=94%, list=72%, signal=315%"
MODULE_24,MODULE_24,,22,0.19533528,1.0869559,0.34319526,0.4000814,1,297,"tags=100%, list=81%, signal=504%"
GO_RESPONSE_TO_LIPID,GO_RESPONSE_TO_LIPID,,22,0.19401008,1.0587333,0.37281552,0.43273118,1,32,"tags=27%, list=9%, signal=28%"
GO_SIGNALING_RECEPTOR_BINDING,GO_SIGNALING_RECEPTOR_BINDING,,60,0.12431696,1.0542245,0.3853755,0.43428677,1,101,"tags=38%, list=28%, signal=44%"
GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,,23,0.1819222,1.0287696,0.38353413,0.46373373,1,32,"tags=26%, list=9%, signal=27%"
GO_CATION_CHANNEL_COMPLEX,GO_CATION_CHANNEL_COMPLEX,,16,0.20970628,0.9977602,0.39834026,0.5015785,1,268,"tags=94%, list=73%, signal=337%"
GO_ENZYME_REGULATOR_ACTIVITY,GO_ENZYME_REGULATOR_ACTIVITY,,16,0.20827363,0.9939073,0.43822393,0.50208265,1,86,"tags=44%, list=24%, signal=55%"
GOZGIT_ESR1_TARGETS_DN,GOZGIT_ESR1_TARGETS_DN,,17,0.19759974,0.9540844,0.48697394,0.5535511,1,102,"tags=47%, list=28%, signal=62%"
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,,18,0.17643292,0.8825959,0.6056911,0.6551446,1,100,"tags=44%, list=27%, signal=58%"
GO_REGULATION_OF_CELLULAR_LOCALIZATION,GO_REGULATION_OF_CELLULAR_LOCALIZATION,,15,0.19428577,0.8824695,0.56308854,0.64922726,1,223,"tags=80%, list=61%, signal=197%"
NFE2L2.V2,NFE2L2.V2,,16,0.18194841,0.8628731,0.62340426,0.6725748,1,118,"tags=50%, list=32%, signal=71%"
GO_DRUG_BINDING,GO_DRUG_BINDING,,18,0.17259048,0.853413,0.63779527,0.6812573,1,223,"tags=78%, list=61%, signal=190%"
GO_CYTOPLASMIC_VESICLE_PART,GO_CYTOPLASMIC_VESICLE_PART,,20,0.15434782,0.8081355,0.68237704,0.74451953,1,37,"tags=25%, list=10%, signal=26%"
MIKKELSEN_NPC_HCP_WITH_H3K27ME3,MIKKELSEN_NPC_HCP_WITH_H3K27ME3,,17,0.16920216,0.8071122,0.686,0.73925704,1,26,"tags=24%, list=7%, signal=24%"
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN,GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN,,18,0.16186363,0.80290896,0.71290946,0.7387278,1,247,"tags=83%, list=68%, signal=245%"
GO_REGULATION_OF_HYDROLASE_ACTIVITY,GO_REGULATION_OF_HYDROLASE_ACTIVITY,,19,0.14876789,0.76849383,0.751046,0.78183925,1,82,"tags=37%, list=22%, signal=45%"
GO_RESPONSE_TO_HORMONE,GO_RESPONSE_TO_HORMONE,,27,0.119767696,0.72457016,0.8618677,0.8340575,1,310,"tags=96%, list=85%, signal=592%"
MODULE_55,MODULE_55,,39,0.09351898,0.6769844,0.88142294,0.88401943,1,268,"tags=82%, list=73%, signal=276%"
MODULE_88,MODULE_88,,37,0.09204022,0.6209031,0.91698843,0.93245184,1,28,"tags=16%, list=8%, signal=16%"
MODULE_117,MODULE_117,,26,0.09496257,0.56553507,0.9654471,0.962594,1,37,"tags=19%, list=10%, signal=20%"
